7 -0.210  000000|26-2 0.000  0 000 .0  .6  DCTim=0TotalTime=2823619-0.193  0.000  0. 0| 19260 . 000 0|CaTe282581
 27.479 136.928  0.000  0.000  0.000  0.000 |  156.021 1502.760  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282438
 44.889 136.889  0.000  0.000  0.000  0.000 |  337.430 1502.873  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282705
 62.408 136.924  0.000  0.000  0.000  0.000 |  518.767 1502.718  0.000  0.000  0.000  0.000 | 0.83 | ADCTime=36000 TotalTime=282419
 79.348 136.940  0.000  0.000  0.000  0.000 |  700.288 1503.292  0.000  0.000  0.000  0.000 | 0.84 | ADCTime=36000 TotalTime=282431
 96.703 136.848  0.000  0.000  0.000  0.000 |  880.869 1502.828  0.000  0.000  0.000  0.000 | 0.86 | ADCTime=36000 TotalTime=282596
 113.910 136.925  0.000  0.000  0.000  0.000 |  1060.571 1502.895  0.000  0.000  0.000  0.000 | 0.88 | ADCTime=36000 TotalTime=282432
 130.992 136.945  0.000  0.000  0.000  0.000 |  1239.911 1503.104  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282430
 148.325 136.934  0.000  0.000  0.000  0.000 |  1418.259 1502.994  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282683
 144.419 136.888  0.000  0.000  0.000  0.000 |  1510.433 1502.864  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282412
 144.404 136.916  0.000  0.000  0.000  0.000 |  1509.944 1502.879  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282437
 144.450 136.882  0.000  0.000  0.000  0.000 |  1509.958 1502.907  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282630
 144.457 136.848  0.000  0.000  0.000  0.000 |  1509.984 1503.089  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282408
 144.542 136.899  0.000  0.000  0.000  0.000 |  1509.874 1502.959  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282451
 144.570 136.893  0.000  0.000  0.000  0.000 |  1510.259 1502.951  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282706
 144.536 136.889  0.000  0.000  0.000  0.000 |  1510.181 1503.024  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282417
 144.534 136.949  0.000  0.000  0.000  0.000 |  1509.862 1502.537  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282443
 144.539 136.899  0.000  0.000  0.000  0.000 |  1510.111 1502.915  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282673
 144.511 136.922  0.000  0.000  0.000  0.000 |  1509.922 1502.971  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282417
 144.462 136.867  0.000  0.000  0.000  0.000 |  1510.192 1502.703  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282440
 144.560 136.935  0.000  0.000  0.000  0.000 |  1510.162 1502.999  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282632
 144.568 136.951  0.000  0.000  0.000  0.000 |  1509.914 1502.912  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282417
 144.587 136.918  0.000  0.000  0.000  0.000 |  1510.160 1502.758  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282444
 144.575 136.933  0.000  0.000  0.000  0.000 |  1509.754 1502.974  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282679
 144.625 136.931  0.000  0.000  0.000  0.000 |  1510.226 1502.589  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282418
 144.598 136.862  0.000  0.000  0.000  0.000 |  1510.166 1502.708  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282443
 144.571 136.915  0.000  0.000  0.000  0.000 |  1510.174 1502.737  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282677
 144.601 136.914  0.000  0.000  0.000  0.000 |  1510.011 1502.717  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282408
 144.607 136.903  0.000  0.000  0.000  0.000 |  1510.067 1502.879  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282455
 144.584 136.892  0.000  0.000  0.000  0.000 |  1509.946 1502.683  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282643
 144.629 136.922  0.000  0.000  0.000  0.000 |  1510.244 1502.674  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282432
 144.595 136.914  0.000  0.000  0.000  0.000 |  1509.994 1503.103  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282445
 144.597 136.904  0.000  0.000  0.000  0.000 |  1509.928 1502.731  0.000  0.000  0.000  0.000 | 0.88 | ADCTime=36000 TotalTime=282700
 144.680 136.915  0.000  0.000  0.000  0.000 |  1509.986 1502.678  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282438
 144.582 136.988  0.000  0.000  0.000  0.000 |  1510.031 1502.761  0.000  0.000  0.000  0.000 | 0.88 | ADCTime=36000 TotalTime=282433
 144.573 136.934  0.000  0.000  0.000  0.000 |  1510.002 1502.682  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282654
 144.561 136.959  0.000  0.000  0.000  0.000 |  1510.032 1502.881  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282431
 144.635 136.891  0.000  0.000  0.000  0.000 |  1509.907 1502.920  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282427
 144.631 136.903  0.000  0.000  0.000  0.000 |  1510.134 1502.578  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282644
 144.675 136.967  0.000  0.000  0.000  0.000 |  1509.992 1502.767  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282433
 144.590 136.891  0.000  0.000  0.000  0.000 |  1510.099 1502.712  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282453
 144.626 136.872  0.000  0.000  0.000  0.000 |  1510.027 1502.526  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282658
 144.619 136.962  0.000  0.000  0.000  0.000 |  1510.259 1502.771  0.000  0.000  0.000  0.000 | 0.93 | ADCTime=36000 TotalTime=282438
 144.649 136.907  0.000  0.000  0.000  0.000 |  1510.054 1502.926  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282451
 144.623 136.889  0.000  0.000  0.000  0.000 |  1509.974 1502.609  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282678
 144.640 136.930  0.000  0.000  0.000  0.000 |  1509.780 1502.635  0.000  0.000  0.000  0.000 | 0.91 | ADCTime=36000 TotalTime=282429
 144.675 136.989  0.000  0.000  0.000  0.000 |  1510.002 1502.779  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282440
 144.675 136.906  0.000  0.000  0.000  0.000 |  1509.934 1502.680  0.000  0.000  0.000  0.000 | 0.90 | ADCTime=36000 TotalTime=282664
 144.620 136.893  0.000  0.000  0.000  0.000 |  1509.954 1502.451  0.000  0.000  0.000  0.000 | 0.89 | ADCTime=36000 TotalTime=282440
 144.679 136.962  0.000  0.000  0.000  0.000 |  1509.879 1502.927  0.000  0.000  0.000  0.000 | 0.93 | ADCTime=36000 TotalTime=282436
 144.647 136.868  0.000  0.000  0.000  0.000 |  1510.132 1502.674  0.000  0.000  0.000  0.000 | 0.92 | ADCTime=36000 TotalTime=282663
